"1","01010","札幌","2010-06-18 18:37:06","system  ","2013-04-10 11:27:23","system  ","c"
"61","06090","川崎","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"62","06100","新百合ヶ丘","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"63","06110","湘南","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"64","06120","小田原・平塚","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"65","07010","名古屋駅","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"66","07020","栄","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"67","07030","富山","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"68","07040","石川","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"69","07050","福井","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"70","07060","岐阜","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"71","07070","静岡","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"72","07080","浜松","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"73","07090","静岡郊外","2010-06-18 18:37:06","system  ","2010-06-23 09:12:32","01092396","c"
"74","07100","千種","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"75","07110","春日井","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"76","07120","東海・半田","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"77","07130","豊田・岡崎","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"78","07140","一宮","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"79","07150","津・伊勢","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"80","07160","桑名・四日市","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"81","08010","梅田","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"82","08020","心斎橋・難波","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"83","08030","阿倍野","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"84","08040","京阪","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"85","08050","阪奈","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"86","08060","阪和","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"87","08070","豊中・池田","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"88","08080","高槻・茨木","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"89","09010","河原町","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"90","09020","京都駅","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"91","09030","三宮・元町","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"92","09040","滋賀","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"93","09050","奈良","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"94","09060","京都郊外","2010-06-18 18:37:06","system  ","2010-06-23 09:12:43","01092396","c"
"95","09070","阪神","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"96","09080","神戸北","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"97","09090","播磨","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"98","09100","姫路","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"99","09110","和歌山","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"100","10010","広島","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"101","10020","岡山","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"102","10030","鳥取・島根","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"103","10040","福山","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"104","10050","広島郊外","2010-06-18 18:37:06","system  ","2010-06-23 09:13:00","01092396","c"
"105","10060","山口","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"106","10070","徳島","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"107","10080","香川","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"108","10090","愛媛","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"109","10100","高知","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"110","11010","天神","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"111","11020","博多駅","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"112","11030","小倉","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"113","11040","福岡","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"114","11050","北九州","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"115","11060","久留米・大牟田","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"116","11070","佐賀","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"117","11080","長崎","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"118","11090","熊本","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"119","11100","熊本郊外","2010-06-18 18:37:06","system  ","2010-06-23 09:13:14","01092396","c"
"120","11110","大分","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"121","11120","宮崎","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"122","11130","鹿児島","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"123","11140","鹿児島郊外","2010-06-18 18:37:06","system  ","2010-06-23 09:13:28","01092396","c"
"124","11150","沖縄","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"125","99999","ブロック外","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
